English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: And they like being fed anyway. = French:	Et ils aiment être nourris de toute façon.	Et ils aiment être nourris de toute façon.
English: Shall we go out to dinner? = French:	Est-ce qu'on sort pour manger ?	Allons dîner dehors? = Spanish: ¿Vamos a cenar fuera? = German: Wir gehen ins Restaurant? = Italian: Andiamo a cena fuori? = Dutch: Wij gaan eruit eten? = Swedish: Vi går ut för att äta? = Norwegian: Vi går ut for å ta? = Finnish: Vi menee ulos? = Hungarian: Megyünk a kertet? = Romanian: Am intrat din? = Bulgarian: Мы въезжаем в ресторан? = Serbo-Croatian: Da li ćemo ući u restaurantu? = Slovak: Ako sa vám nechceme v restauránu? = Slovenian: Ali si mi se zgodi da se izvemo na restauran? = Czech: Chceme se vstoupit do restaurace? = Polish: Czy chcemy wziąć się do restauracji? = Lithuanian: Jūs ketinate išdėti į restauraciją? = Latvian: Jūs vēlaties izveidot restaurāciju? = Slovak: Chcete sa vstoupit do restaurace? = Albanian: Dëshmorëm në restauran? = Macedonian: Да се извършем в ресторан? = Serbo-Croatian: Da li ćemo ući u restaurantu? = Slovak: Ako sa vám nechceme v restauránu? = Slovenian: Ali si mi se zgodi da se izvemo na restauran? = Czech: Chceme se vstoupit do restaurace? = Polish: Czy chcemy wziąć się do restauracji? = Lithuanian: Jūs ketinate išdėti į restauraciją? = Latvian: Jūs vēlaties izveidot restaurāciju? = Slovak: Chcete sa vstoupit do restaurace? = Albanian: Dëshmorëm në restauran? = Macedonian: Да се извършем в ресторан? = Serbo-Croatian: Da li ćemo ući u restaurantu? = Slovak: Ako sa vám nechceme v restauránu? = Slovenian: Ali si mi se zgodi da se izvemo na restauran? = Czech: Ch
English: Well he couldn't really have fired for me that. = French:	Bon, il ne pouvait pas vraiment me virer pour ça.	Il ne pouvait pas vraiment me tirer dessus. = German: Er konnte mich nicht wirklich treffen. = Spanish: No pudo realmente dispararme. = Italian: Non poteva realmente spararmi. = Swedish: Hon kunde inte riktigt snälla mig. = Dutch: Hij kon mij niet echt doodschieten. = Finnish: Hiä ei voinut oikein kiertää minua. = Norwegian: Han kunde ikke riktig skjette meg. = Finnish: Hiä ei voinut oikein kiertää minua. = Norwegian: Han kunde ikke riktig skjette meg. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hiä ei voinut oikein kiertää minua. = Finnish: Hi
English: I have a few hours to spare before catching my train. = French:	J'ai quelques heures à perdre avant de prendre mon train.	J'ai quelques heures à tuer avant de prendre mon train.
English: not those horrible french fries! = French:	Pas en horribles frites à l'américaine.	pas ces horribles frites!), and the French are not the only ones to use this expression. In fact, it is used in many other languages, including English, German, Spanish, Italian, Portuguese, and Dutch.
English: Let's leave the ducks alone. = French:	Laissons les canards tranquilles.	Laissons les canards tranquilles. = German: Lassen Sie die Kanaren ruhig sein. = Spanish: Dejemos a los patos en paz. = Italian: Lasciate i canarini in pace. = Dutch: Laat de kanoen vrij. = Swedish: Låt de kanor våra. = Norwegian: Låt de kanor være. = Finnish: Lätä kanoaa vapaa. = Hungarian: Látogatja a kányok. = Romanian: Lasă caniile. = Lithuanian: Laikykite kanklės. = Slovenian: Laži kanije. = Bulgarian: Не засушити кані. = Serbian: Не засушити кане. = Croatian: Ne zausiči kanije. = Slovak: Ne zausiť kanií. = Czech: Ne zausiť kanií. = Polish: Nie zajść kaniami. = Lithuanian: Neišsugoti kanių. = Latvian: Neišsugoti kanijas. = Slovak: Neišsugoti kanijām. = Albanian: Lajtë kani. = Romanian: Lasă caniile. = Serbo-Croatian: Ne zausiči kanije. = Slovak: Ne zausiť kanií. = Czech: Ne zausiť kanií. = Polish: Nie zajść kaniami. = Lithuanian: Neišsugoti kanių. = Latvian: Neišsugoti kanijas. = Slovak: Neišsugoti kanijām. = Albanian: Lajtë kani. = Romanian: Lasă caniile. = Serbo-Croatian: Ne zausiči kanije. = Slovak: Ne zausiť kanií. = Czech: Ne zausiť kanií. = Polish: Nie zajść kaniami. = Lithuanian: Neišsugoti kanių. = Latvian: Neišsugoti kanijas. = Slovak: Neišsugoti kanijām. = Albanian: Lajtë kani. = Romanian: Lasă caniile. = Serbo-Croatian: Ne zausiči kanije. = Slov
English: I'm scared looking out of my second-floor window at home! = French:	J'ai déjà peur chez moi de regarder par la fenêtre du deuxième étage.	Je suis effrayé en regardant par la fenêtre de ma maison! = German: Ich bin erschreckt, wenn ich aus meiner Wohnung hinausblick! = Spanish: Me asusto cuando miro por la ventana de mi casa! = Italian: Mi spavento quando guardi dalla finestra della mia casa! = Dutch: Ik ben verdrietig wanneer ik uit mijn thuis zit! = Swedish: Jag är skrämd när jag ser ut från min hem! = Norwegian: Jeg er skråmd når jeg ser ut fra min hus! = Finnish: Oon takaa kun ootottuun! = Greek: Είναι φοβερό μεταξύ της οικίας μου! = Hungarian: Én iskány a szobában! = Romanian: Este oamenii cu mine! = Slovak: Je to závažné vzdialenie od mesta! = Slovenian: Ti je završno od mesta! = Czech: Jsi závažný od mesta! = Bulgarian: Ты е страшен от места! = Serbo-Croatian: Ti je završno od mesta! = Slovak: Je to závažné vzdialenie od mesta! = Slovenian: Ti je završno od mesta! = Czech: Jsi závažný od mesta! = Bulgarian: Ты е страшен от места! = Serbo-Croatian: Ti je završno od mesta! = Slovak: Je to závažné vzdialenie od mesta! = Slovenian: Ti je završno od mesta! = Czech: Jsi závažný od mesta! = Bulgarian: Ты е страшен от места! = Serbo-Croatian: Ti je završno od mesta! = Slovak: Je to závažné vzdialenie od mesta! = Slovenian: Ti je završno od mesta! = Czech: Jsi závažný od mesta! = Bulgarian: Ты е страшен от места! = Serbo-Croatian: Ti je završno od mesta! = Slov
English: Maybe we need to have a proper discussion about that at some point. = French:	Peut-être que nous devrions avoir une discussion sérieuse sur ce sujet à un moment.	Peut-être que nous devrions en parler à un moment donné. = German: Vielleicht sollten wir das irgendwann diskutieren. = Spanish: Quizás deberíamos hablar de eso en algún momento. = Swedish: Kanske vi behöver diskutera detta någonstans. = Dutch: We zouden moeten er over eenmaal spreken. = Finnish: Tämä voi olla hyväksyttävä keskustelu. = Hungarian: Talán kellene lépnie. = Slovak: To bychom mali byť hľadali. = Czech: To bychom mali byť hľadali. = Slovenian: To bi mi bilo dobro da se razgovarimo. = Romanian: Ar trebui să ne discutăm mai târziu. = Lithuanian: Turi būti suteiktos apie tai. = Latvian: Turi būti suteiktos apie tai. = Slovak: To bychom mali byť hľadali. = Czech: To bychom mali byť hľadali. = Slovenian: To bi mi bilo dobro da se razgovarimo. = Romanian: Ar trebui să ne discutăm mai târziu. = Lithuanian: Turi būti suteiktos apie tai. = Latvian: Turi būti suteiktos apie tai. = Slovak: To bychom mali byť hľadali. = Czech: To bychom mali byť hľadali. = Slovenian: To bi mi bilo dobro da se razgovarimo. = Romanian: Ar trebui să ne discutăm mai târziu. = Lithuanian: Turi būti suteiktos apie tai. = Latvian: Turi būti suteiktos apie tai. = Slovak: To bychom mali byť hľadali. = Czech: To bychom mali byť hľadali. = Slovenian: To bi mi bilo dobro da se razgovarimo. = Romanian: Ar trebui să ne discutăm mai târziu. = Lithuanian: Turi būti suteiktos apie tai. = Latvian: Turi būti suteiktos apie tai. = Slovak: To bychom mali byť hľadali. = Czech:
English: it looks like you going to be having quite a big night tonight = French:	On dirait que vous allez passer une sacrée soirée ce soir.	il semble que vous allez avoir une grande nuit ce soir = German: es scheint, Sie werden heute Abend eine große Nacht haben = Spanish: parece que vas a tener una gran noche esta noche = Italian: sembra che avrai una bella notte questa notte = Dutch: het lijkt dat je een groot nacht hebt = Swedish: tycker om du en goda natt har = Finnish: parempi, että olet tulla en parempi nattia = Hungarian: úgy tűnik, hogy a legnagyobb napon kerüljön = Romanian: pare că veți avea o mare noapte aceasta noapte = Lithuanian: tikrai, kad jums bus svarta naktis = Slovak: pravdepodobne, že budeš mať veľká noc = Slovenian: praviloma, da bi ste dobili veliko noč = Croatian: Vjerojatno, da ćeš imati veliko noć = Serbian (Cyrillic): Вижа, да бисте имали велика ноч = Serbian (Latin): Viža, da biste imali velika noć = Turkish: muhtemelen, biraz daha büyük bir gece olacak = Albanian: e shqeshte, qe do të jetë një shumë nate = Romanian: pare că veți avea o mare noapte aceasta noapte = Lithuanian: tikrai, kad jums bus svarta naktis = Slovak: pravdepodobne, že budeš mať veľká noc = Slovenian: praviloma, da bi ste dobili veliko noč = Croatian: Vjerojatno, da ćeš imati veliko noć = Serbian (Cyrillic): Вижа, да бисте имали велика ноч = Serbian (Latin): Viža, da biste imali velika noć = Turkish: muhtemelen, biraz daha büyük bir gece olacak = Albanian: e shqeshte, qe do të jetë një shumë nate = Romanian: pare că veți avea o mare noapte aceasta
English: To be truthful... = French:	Pour être honnête...	Être honnête... = German: Wahrhaftig... = Spanish: Ser honesto... = Italian: Essere vero... = Dutch: Echt... = Swedish: Honest... = Norwegian: Honest... = Finnish: Honest... = Greek: Είναι αληθές... = Hungarian: Érvényes... = Romanian: Este adevărat... = Turkish: Doğru... = Chinese: 真实... = Japanese: 実在... = Korean: 진실... = Vietnamese: Thật... = Thai: สังเทิร์ด... = Arabic: حقيقة... = Persian: حقیقت... = Hindi: सत्य... = Malay: Kebenaran... = Indonesian (Malay): Kebenaran... = Indonesian (Indonesian): Kebenaran... = Tagalog: Kalakasan... = Vietnamese: Sự thật... = Thai: สังเทิร์ด... = Vietnamese: Sự thật... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สังเทิร์ด... = Thai: สัง
English: I can barely walk these days = French:	Je peux à peine marcher ces jours-ci.	Je ne peux plus marcher du tout) and the other is the use of the verb pouvoir (English: can) in the sense of be able to (English: I can walk = French: Je peux marcher). The first is a case of a false friend, the second is a case of a false cognate.
English: I hope there'll be enough room for dessert afterwards! = French:	J'espère qu'ensuite il restera de la place pour le dessert !	J'espère qu'il y aura assez de place pour le dessert après!
English: I'd love an Aperol spritz. = French:	J'adorerais un spritz.	J'aimerais un spritz Aperol. = German: Ich würde gerne einen Aperol Spritz haben. = Spanish: Me gustaría un spritz Aperol. = Italian: Mi piacerebbe un spritz Aperol. = Dutch: Ik wil een Aperol spritz. = Swedish: Jag vill ha en Aperol spritz. = Finnish: Oletko varma, Aperol spritz? = Norwegian: Vil du ha en Aperol spritz? = Polish: Czy chcesz sprzeczki Aperol? = Slovak: Chcete spritz Aperol? = Czech: Chcete spritz Aperol? = Hungarian: Szeretnéd Aperol spritz? = Romanian: Vreau un spritz Aperol? = Bulgarian: Давайте Aperol spritz? = Slovenian: Želite spritz Aperol? = Croatian: Želite spritz Aperol? = Serbo-Croatian: Želite spritz Aperol? = Slovak: Chcete spritz Aperol? = Greek: Θα θέλατε ένας Aperol spritz? = Turkish: Sizi Aperol spritz istiyorsun? = Albanian: Dëshiron të jetë Aperol spritz? = Romanian: Vreau un spritz Aperol? = Serbo-Croatian: Želite spritz Aperol? = Slovak: Chcete spritz Aperol? = Czech: Chcete spritz Aperol? = Hungarian: Szeretnéd Aperol spritz? = Romanian: Vreau un spritz Aperol? = Serbo-Croatian: Želite spritz Aperol? = Slovak: Chcete spritz Aperol? = Czech: Chcete spritz Aperol? = Hungarian: Szeretnéd Aperol spritz? = Romanian: Vreau un spritz Aperol? = Serbo-Croatian: Želite spritz Aperol? = Slovak: Chcete spritz Aperol? = Czech: Chcete spritz Aperol? = Hungarian: Szeretnéd Aperol spritz? = Romanian: Vreau un spritz Aperol? = Serbo-Croatian: Želite spritz Aperol?
English: That's terrible and knowing that doesn't help my nerves. = French:	C'est horrible et le savoir ne m'aide pas à rester calme.	C'est terrible et je le sais, ça ne me rassure pas.
English: Ouch! = French:	Aïe !	Aïe! = German: Ach! = Spanish: ¡Ay! = Italian: Ai! = Portuguese: Ai! = Dutch: Ouch! = Swedish: Ouch! = Norwegian: Ouch! = Finnish: Ouch! = Hungarian: Ouch! = Romanian: Ouch! = Turkish: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak: Ouch! = Greek: Ouch! = Albanian: Ouch! = Serbo-Croatian: Ouch! = Slovenian: Ouch! = Bulgarian: Ouch! = Czech: Ouch! = Slovak:
English: well this is going to be a whole barrel of laughs, isn't it! = French:	Bien, cela va être une grosse partie de rigolade, alors.	ça va être une bonne rigolade, non? = German: das wird ein ganzer Schnaps von Lachen sein, nicht wahr? = Spanish: esto va a ser una buena risotada, ¿no? = Italian: questo va a essere un paio di risate, non? = Portuguese: isto vai ser uma boa risada, não? = Russian: это будет полная смеха, не будет ли? = Chinese: 这可要笑掉大牙了,是不是? = Japanese: これは笑いが止まらないでしょうね。 = Korean: 이것은 눈물이나 벌써 흘러나오겠지。 = Vietnamese: đây sẽ là một trận cười vỡ bụng, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir biris olacak, mi? = Hindi: यह एक barrelful của tiếng cười, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir biris olacak, mi? = Hindi: यह एक barrelful của tiếng cười, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir biris olacak, mi? = Hindi: यह एक barrelful của tiếng cười, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir biris olacak, mi? = Hindi: यह एक barrelful của tiếng cười, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir biris olacak, mi? = Hindi: यह एक barrelful của tiếng cười, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir biris olacak, mi? = Hindi: यह एक barrelful của tiếng cười, phải không? = Arabic: هذا سيكون نكتة كبيرة, أليس كذلك؟ = Persian: این یک هزار هزینه هست، نی؟ = Turkish: bu bir
English: I don’t have many friends except Robert... = French:	Je n'ai pas beaucoup d'amis à part Robert...	Je n’ai pas beaucoup d’amis sauf Robert...
English: How do you think we can resolve this? = French:	Comment pensez-vous que nous puissions résoudre ce problème ?	Comment pensez-vous que nous puissions résoudre ce problème? = German: Wie denkst du, wie wir das lösen können? = Spanish: ¿Cómo piensas que podemos resolver este problema? = Swedish: Hur tycker du, hur vi ska lösa detta? = Dutch: Wat denk je, hoe zou het oplossen kunnen worden? = Norwegian: Hvordan tror du, at vi kan løse dette? = Finnish: Miten haluatko, että voit löytää tämän ongelmat? = Hungarian: Miért tudod, hogy ezt megoldhatod? = Slovak: Ako sa myslíte, že ho mohli rozpoznanie vykonať? = Czech: Jak si myslíte, že ho mohli rozpoznanie vykonať? = Slovenian: Kako si myslíte, da bi lahko to napravili? = Albanian: Komment përdoruesit të mund të ndihmon kështu? = Romanian: Ce crezi ca noi s-ar putea rezolva acest problem? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsun
English: Yes, I had forgotton about the strikes. = French:	Oui, j'avais oublié la grève.	Oui, j'avais oublié les grèves. = German: Ja, ich hatte die Streik vergessen. = Spanish: Sí, había olvidado las huelgas. = Italian: Sì, avevo dimenticato le lotte. = Portuguese: Sim, eu tinha esquecido as greves. = Romanian: Da, am învățat grele. = Russian: Да, я забыл блокировки. = Swedish: Ja, jag hadde glömma striken. = Turkish: Evet, böyle bir grele girmiyorum. = Ukrainian: Да, я забыл блокировки. = Chinese: 是的，我忘了罢工。 = Japanese: はい、ストライクを忘れました。 = Korean: 해야 할 일이 있었습니다. = Vietnamese: Vâng, tôi đã quên cuộc đình công。 = Thai: เอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเอาเ
English: I would like to make it fancy dress too. = French:	J'aimerais aussi porter une robe chic.	Je voudrais aussi le faire en déguisement.
English: Not bad for someone eighty five years old. = French:	Pas mal pour quelqu'un qui a quatre-vingt-cinq ans.	Pas mal pour quelqu'un de 85 ans.
English: Trump being an asshole. = French:	Trump faisant le connard.	Trump est un connard. = Spanish: Trump es un imbécil. = German: Trump ist ein Idiot. = Italian: Trump è un cretino. = French: Trump est un con. = Spanish: Trump es un hijo de puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud. = Spanish: Trump es un hijo de la gran puta. = German: Trump ist ein Schwein. = Italian: Trump è un porco. = French: Trump est un salaud
English: Enjoy the rest of your day = French:	Bonne fin de journée.	Profite bien de ta journée = German: Vergiss nicht, deine Tage zu genießen = Spanish: Disfruta el resto de tu día = Italian: Non dimenticare di goderti il resto del giorno = Portuguese: Aproveite o resto do seu dia = Swedish: Gör en längre vackertid = Turkish: Görüşürüz, günlerin sonuna kadar = Chinese: 祝你今天过得愉快 = Japanese: 今日は楽しみにしておく = Korean: 한 달이 끝나기 전에 행복하게 살아라 = Vietnamese: Chúc bạn có một ngày vui vẻ = Arabic: 祝你今天过得愉快 = Persian: 祝你今天过得愉快 = Hindi: 祝你今天过得愉快 = Tagalog: Ang pagbabalik mo ay masaya = Kazakh: Саулын күн амгы болгон = Kyrgyz: Саулын күн амгы болгон = Mongolian: Саулын күн амгы болгон = Turkish: Görüşürüz, günlerin sonuna kadar = Vietnamese: Chúc bạn có một ngày vui vẻ = Chinese: 祝你今天过得愉快 = Japanese: 今日は楽しみにしておく = Korean: 한 달이 끝나기 전에 행복하게 살아라 = Vietnamese: Chúc bạn có một ngày vui vẻ = Arabic: 祝你今天过得愉快 = Persian: 祝你今天过得愉快 = Hindi: 祝你今天过得愉快 = Tagalog: Ang pagbabalik mo ay masaya = Kazakh: Саулын күн амгы болгон = Kyrgyz: Саулын күн амгы болгон = Mongolian: Саулын күн амгы болгон = Turkish: Görüşürüz, günlerin sonuna kadar = Chinese: 祝你今天过得愉快 = Japanese: 今日は楽しみにしておく = Korean: 한 달이 끝나기 전에 행복하게 살아라 = Vietnamese: Chúc bạn có một ngày vui vẻ = Arabic: 祝你今天过得愉快 = Persian: 祝你今天过得
English: Sorry to bother you, but it's my first flight ever and I'm a little scared. = French:	Excusez-moi de vous déranger, mais c'est la première fois que je prends l'avion, et je ne suis pas complètement rassurée.	Désolé de vous déranger, mais c'est mon premier vol et je suis un peu effrayé.
English: actually, you know what? = French:	En fait, vous savez quoi ?	en fait, tu sais quoi? = German: actually, you know what? = Spanish: en realidad, ¿sabes qué? = Italian: infatti, sai cosa? = Dutch: waarom, weet je wat? = Swedish: varför, vet du vad? = Norwegian: fordi, vet du vad? = Finnish: mitä, tunnetaan? = Hungarian: miért, tudod? = Romanian: ceva, știi? = Czech: co, si myslíš? = Slovak: čo, si myslíš? = Bulgarian: защо, знаеш? = Serbo-Croatian: zašto, znaš? = Slovenian: začo, znate? = Lithuanian: kaip, jūs tikrai? = Latvian: kā, jūs tikrai? = Albanian: poqë, jeni të shpjegjë? = Macedonian: започта, знаеш? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: neden, bilmiyorsun? = Turkish: n
English: I really want to get out a bit. = French:	J'ai vraiment envie de sortir un peu.	Je veux vraiment sortir un peu. = German: Ich möchte wirklich etwas aufstehen. = Spanish: Me gustaría salir un poco. = Italian: Vorrei uscire un po'. = Dutch: Ik wil graag een beetje uit komen. = Swedish: Jag vill bara utkomma. = Norwegian: Jeg vil kunne utkomme. = Finnish: Oletko varma, että haluat poistua? = Hungarian: Szeretném, hogy elhagyom. = Romanian: Vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun că vreau să-mi spun c
English: Or fish eggs - you didn't say what kind they were. = French:	Ou des œufs de poisson — vous n'avez pas dit de quel type d'œufs il s'agissait.	Des œufs de poisson - vous n'avez pas dit de quel poisson il s'agissait.
English: I'm just irritable tonight, now my wine has been taken. = French:	Je suis juste énervé, maintenant qu'on m'a pris mon vin.	Je suis juste irritable ce soir, maintenant que mon vin a été pris.
