French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: Well, that will give us a good basis to start with next time. = French: Bon, ça nous donne un bon point de départ d'où partir la prochaine fois.	Oui, je peux vous faire ça.	Oui, je peux le faire pour vous.
English: Are you parents encouraging? = French: Vos parents vous encouragent-ils ?	As-tu eu le temps de déjeuner ?	Avez-vous eu le temps de prendre le déjeuner ?
English: This needs to be sorted out quickly. = French: Cela doit être réglé rapidement.	Nous sommes à l'étranger !	Nous sommes à l'étranger!
English: I'll talk to the head and see what we can do to investigate, and I'll let you know. = French: Je vais en parler au directeur et voir ce que nous pouvons faire pour en savoir plus et je te tiendrai au courant.	J'ai des chamallows dans mon sac.	J'ai des chamallows dans mon sac.
French: Allez-y, commençons la partie = English: Ok then, let's start.	Ne soyez pas désolée.	Ne soyez pas.
English: Or just at certain times? = French: Ou seulement par moments ?	Ouah !	Wouah!
French: les algues apporteront un petit côté iodé, et c'est original ! = English: Seaweed will give it a slightly salty touch, and it's original!	Je suis heureuse que mes idées te plaisent.	Je suis contente que tu aimes mes idées
French: Après, il y a ce rond-point et vous ne pourrez pas le rater. = English: After that, there's a roundabout and then you can't miss it.	Ça te va si je cuisine le canard pendant que tu t'occupes des pommes de terre ?	Tu veux bien faire le canard et je ferai les pommes de terre.
English: I'm fine here thanks. = French: Je suis bien ici, merci.	Mon mari ne comprend pas à quel point mon travail est stressant.	Mon mari ne comprend pas à quel point mon travail est stressant.
English: It was absolutely delicious. = French: Elle était absolument délicieuse.	Je me suis aussi entrainée quand je travaillais dans un bar réputé à Londres.	J'ai aussi fait un peu de formation en travaillant dans un bar célèbre à Londres.
English: Do you believe in god? = French: Croyez-vous en Dieu ?	Le propriétaire du bar est très sympathique.	Le patron du bar est très gentil.
English: I always thought there would be more time = French: J'ai toujours pensé que nous avions le temps.	Peux-tu s'il te plaît juste saisir le bœuf dans une poêle et le mettre doucement à rôtir ?	s'il vous plaît, pourriez-vous juste faire rôtir la viande dans une poêle et la mettre à cuire lentement.
English: Don't you know anywhere? = French: Est-ce que tu en connais ?	J'espère.	J'espère bien.
French: Tu peux le garder pour toi, on peut le boire à 2, ou on peut aussi inviter l'infirmière que j'ai croisée dans le couloir en arrivant. = English: You can keep it fo you, we can drink it together or we can also invite the nurse I passed in the corridor as I was coming in.	Mais vous n'avez aucune raison de paniquer.	Mais il n'y a pas de quoi paniquer.
English: Oh really? = French: Oh, vraiment ?	Je suis sûr que ça va vous aider à vous sentir un peu mieux !	Ça devrait te faire sentir un peu mieux, non?
French: Actionnons l'alarme = English: Let's set off the alarm.	Est-ce que c'est plus clair ?	Ça vous va?
English: What do you usually do on holiday? = French: Tu fais quoi d'habitude en vacances ?	Mais je vous préviens, je ne suis pas une bonne chanteuse.	Bien que je vous prévienne, je ne suis pas une très bonne chanteuse.
French: J'espère que je pourrais venir te voir bientôt = English: Hopefully I can come see you soon!	Ta remarque était vraiment désobligeante.	Ton commentaire ÉTAIT offensant.
French: Mais nous commençons un peu plus tard dans la soirée. = English: But we start a little later in the evening.	Appeler qui ?	Appeler qui?
English: Presentation is important, isn’t it? = French: La présentation, c'est important, n'est-ce pas ?	Je devrais peut-être y réfléchir.	Peut-être que je devrais y jeter un coup d'œil
English: If you're very sure. = French: Si vous êtes vraiment sûre de vous.	Peut-être que finalement je n'aime vraiment pas prendre l'avion...	Peut-être que je n'aime pas voler après tout...
French: Il te fallait de la compagnie. = English: You needed company.	J'en prends toujours plusieurs avec moi, juste au cas où.	Je
French: Tu veux que je te tienne un peu compagnie ? = English: Do you want me to keep you company for a bit?	Lequel préférez-vous ?	Lequel préfères-tu?
English: Have a safe onward journey = French: Bonne fin de voyage.	Oh ce serait génial.	Oh ce serait bien.
French: Remarquez, un whisky, c'est parfait contre le stress aussi. = English: Then again, a whisky would be perfect to combat stress too.	Un peu... c'est comme les photos d'elle quand elle était jeune.	un peu... c'est comme les photos d'elle quand elle était jeune.
French: Si vous avez raison, j'espère que ça n'est rien de grave. = English: If you're right, I hope it's nothing serious.	Un litre entier d'une bière qui se laisse très bien boire.	un litre entier d'une très bonne bière
English: Then we could ask friends to bring salads and wine = French: Et on pourrait demander aux amis d'apporter des salades et du vin.	Merci pour cette discussion.	Merci de m'avoir parlé.
English: and the bees too = French: Et les abeilles aussi.	Et si oui, quand ?	Si oui, quand?
French: C'est stupide de s'être égarées alors que nous avions une bonne carte ! = English: It's stupid of us to have got lost when we had a good map!	mes meilleurs souvenirs à ta famille.	Mes meilleurs voeux à votre famille
French: je suis auto-entrepreneur, et travaille à mon compte = English: I'm self-employed, and so work for myself.	C'est pas une bonne façon de commencer la journée.	Ce n'est pas un bon début de journée.
English: Would you like anything to eat with your coffee? = French: Vous voulez quelque chose à manger avec votre café ?	Tu n'as pas plein d'animaux domestiques chez toi ?	Vous n'avez pas beaucoup d'animaux à la maison ?
English: Oh thanks. = French: Oh merci.	Et ensuite asseyez-vous rapidement et nous allons regarder vos devoirs.	Alors assieds-toi vite et nous allons regarder ton travail.
English: I would report him to someone higher up the chain. = French: Je le signalerais à quelqu'un de plus haut placé.	Oui enfin si vous voulez comparer ça aux catapultes ou à la défenestration, vous avez probablement raison.	Si vous voulez comparer à des catapultes ou à des défenestrations, alors vous avez probablement raison.
English: Well, it's because he is different to everybody else. = French: Eh bien, c'est parce qu'il est différent des autres.	Non, ce n'est pas la première fois que je prends l'avion, mais je suis quand même très stressée.	Non, ce n'est pas la première fois que je vole, mais je suis encore très anxieux.
English: That's good to know. = French: Je suis heureux de l'entendre.	La batterie de votre téléphone est faible.	Votre téléphone est très faible en batterie.
French: envoie moi le lien = English: Send me the link.	Je ne me sens pas très bien.	Je ne me sens pas très bien.
French: Ça devrait nous permettre de rejoindre la rivière, et la rivière coule en direction du village. = English: We should be able to get to the river, and the river flows towards the village.	Mais seulement si elle ne vient pas avec son chien.	Mais seulement si elle ne ramène pas son chien avec elle.
English: You are not here to be a joker = French: Tu n'es pas ici pour faire le clown.	C'est entièrement de ta faute.	c'est de ta faute.
English: Well at least I can't be fired for being late for the meeting. = French: Bon, au moins je ne pourrai pas me faire virer pour avoir été en retard à la réunion.	Allez, vas-y, on l'a bien mérité, après une journée pareille.	Oh, allez, on le mérite bien, après tout, on a eu une dure journée.
French: J'ai du mal à comprendre le principe = English: I'm struggling to understand the idea.	Que penses-tu de redescendre un peu de ton piédestal intellectuel et de revenir un peu à la réalité.	comment ça va, tu te calmes un peu, tu redescends de ton cheval de bataille et tu reviens à la réalité.
French: ciao ! = English: Ciao!	Oui, je m'occupe de ça.	Oui, je le ferai.
English: I don't think pasta and fish go well together but we all have different preferences. = French: Je ne trouve pas que les pâtes et le poisson aillent bien ensemble mais nous avons tous des préférences différentes.	Ce serait comme un pousse-pousse !	Ce serait comme un pousse-pousse!
English: I don't really understand your new rule. = French: Je ne comprends pas vraiment ta nouvelle règle.	Je vous conseille de discuter de la situation avec vos collègues et d'échanger vos expériences.	Puis-je te suggérer de parler à tes collègues de la situation et d'échanger des expériences?
English: go on, tell me what happened. = French: Vas-y, dis-moi ce qui s'est passé.	Je suis inquiète à propos... J'ai l'impression de m'inquiéter pour tout.	Je m'inquiète de... Je m'inquiète de tout.
English: Yeah, but it gets boring. = French: Oui, mais ça devient vite ennuyeux.	C'est une sorte de roman policier.	C'est un genre de roman policier.
English: I think my favourite film was Forrest Gump. = French: Je crois que mon film préféré c'est Forrest Gump.	Je ne suis pas sûre que je m'en souvienne.	Je ne suis pas sûr de m'en souvenir.
English: I do struggle with French too... = French: J'ai aussi du mal en français...	Ouais, c'est bien de faire autre chose que de regarder la télé.	Oui, c'est bien de faire autre chose que regarder la télé.
English: or will someone notice soon enough? = French: Ou bien quelqu'un va s'en apercevoir rapidement ?	Marrant !	un vrai régal!
French: OK, je vais voir si c'est bien ça. = English: Ok, I'll see whether that's it.	Oui s'il te plaît.	Oui s'il vous plaît.
French: Si tu veux! = English: If you want!	Tiens, prends quelques morceaux de pain.	Prends des miettes de pain.
English: I don't think a mirror will help. = French: Je ne pense pas qu'un miroir va m'aider.	Je suis existentialiste, mais il n'y a pas de postes vacants rémunérés pour ça. Je vis donc dans une petite cabane dans la forêt avec mes livres, et je travaille ici pour gagner ma vie.	Je suis un existentialiste, mais il n'y a pas de poste vacant pour cela, alors je vis dans une petite hutte dans la forêt avec mes livres, et travaille ici pour payer ma voie.
English: I've also got some playing cards here. = French: J'ai également un jeu de cartes.	Le côté alcool est donc réglé.	Donc, c'est réglé pour l'alcool.
English: You didn't even know it! = French: Vous ne le saviez même pas !	Le bar est sur le point de fermer.	Le bar va fermer.
English: Or I could go up a pay grade perhaps? = French: Ou je pourrais passer à l'échelon supérieur, peut-être ?	Vous pensez qu'un jour dans le futur les enfants n'auront pas besoin d'apprendre à écrire avec un stylo et utiliseront juste un ordinateur à la place ?	Pensez-vous qu'un jour les enfants n'auront plus besoin d'apprendre à écrire avec un stylo et utiliseront un ordinateur à la place ?
English: Did you mean umbrella? = French: Tu veux dire un parapluie ?	Tu est très gentil de me rendre visite si souvent.	Vous êtes très gentil de me rendre visite si souvent
French: En attendant, nous pourrions parler de nos futurs projets. = English: Whilst we're waiting, we could talk about our future projects.	Lait...?	Du lait...?
French: Ils me regardent toujours d'un air étrange. = English: They always look at me weirdly.	Ouh là !	Oh wow?
French: Il y a plein d'activités, et le personnel est très sympathique. = English: There are lots of activities and the staff are very nice.	Il ne reste plus beaucoup de temps avant qu'il fasse nuit.	Il ne va pas tarder à faire nuit.
French: j'espère que tu as pu te repose = English: I hope you were able to have a rest.	J'adore les regarder flotter dans l'eau ! 20 points pour un caneton !	J'adore les regarder barboter dans l'eau! 20 points pour un caneton!
French: Tu est toujours aussi satisfait de ta maison de retraite ?. = English: Are you still as happy with your retirement home?	Avez-vous apporté des photos ?	Vous avez apporté des photos?
French: Je vais vomir = English: I'm going to be sick.	Je suis toujours de mauvaise humeur.	Je suis toujours de mauvaise humeur.
French: Et les chats, quel que soit leur genre, ont des moustaches dont ils se servent pour se diriger dans une pièce. = English: And cats, whatever their gender, have whiskers they use to find their way around a room.	J'ai eu une journée de merde, donc quelque chose de fort serait bien !	J'ai eu une journée de merde, alors quelque chose de fort serait bien!
English: I would prefer a large glass of wine thank you. = French: Je préférerais un grand verre de vin, merci.	Nous n'avons que du gin Gordon.	Nous avons du gin Gordon seulement.
French: Entendu. = English: Ok.	Il faut combien de mots dans une petite dissertation ?	Combien de mots
English: They are ready for you now Chef. = French: Ils sont prêts pour vous, chef.	Si on utilisait tous des ordinateurs à l'école, ce serait meilleur pour l'environnement.	Si tout le monde utilisait des ordinateurs à l'école, ce serait mieux pour la planète!
French: Nous devrions rentrer. = English: We should go home.	Allons !	allez!
English: It is a song by Lesley Gore from the 1960's, you should listen to it on youtube = French: C'est une chanson de Lesly Gore, des années 1960, tu devrais l'écouter sur YouTube.	Est-ce qu'il y a quelque chose d'autre pour lequel vous avez besoin d'aide ?	Y a-t-il quelque chose d'autre que je peux vous aider aujourd'hui?
English: Work is stressful. = French: Mon travail est stressant.	Je voulais dire, crachez votre chewing-gum, vous connaissez le règlement de l'école.	Je voulais dire crache ton chewing-gum, tu sais les règles de l'école.
French: rien de grave, ça va passer = English: Nothing serious, it'll pass.	Oh ouah, génial !	Oh wow, incroyable!
English: What are you planning on doing? = French: Qu'est-ce que tu as prévu ?	Nous ne sommes pas en train de préparer un repas italien mais un vrai repas anglais.	nous ne préparons pas un repas italien, ce sera un vrai repas anglais
French: Je ne veux pas l'abîmer. = English: I don't want to ruin it.	Génial !	Super!
English: Open that. = French: Ouvrez ça.	Oui.	Oui.
English: Oh sweet jesus. = French: Oh, doux Jésus.	Ah oui, ça fait pas mal de gens.	Ah oui, c'est beaucoup de monde.
English: I can hear my train whistle blwoing so I should run. = French: J'entends mon train siffler donc il faut que je file.	C'est trop calorique, ça fait grossir les canards et ils risquent de couler.	Ce sont des calories vides, ce qui fait que les canards sont gros et plus susceptibles de couler.
English: i was worried there for a second. = French: Je me suis inquiété une seconde.	Presque.	Presque.
English: Please. = French: S'il te plaît.	Peut-être que si je prends des vacances tranquilles à l'étranger avec du beau temps et un bon livre à lire, je reviendrai en pleine forme.	Peut-être que si je vais en vacances dans un endroit calme, avec du beau temps et un bon livre à lire, je reviendrai reposée.
English: just get on and dont talk so much = French: Dépêche-toi et arrête de parler autant.	Ce serait parfait :)	Ce serait super :)
French: Une très bonne soupe de mangue d'ailleurs que je vous recommande si vous avez encore faim après votre repas. = English: A very good mango soup by the way, that I would recommend if you're still hungry after your meal.	Bon ben, va parler à quelqu'un ou alors participer au sport aquatique.	Bon, allez donc parler à quelqu'un ou rejoignez les exercices dans l'eau.
French: Non, pour le déjeuner. = English: No, for lunch.	Donc il aimerait aussi déménager là-bas.	Donc il aimerait aussi déménager là-bas.
English: What exactly has happened? = French: Qu'est-ce qu'il s'est passé exactement ?	Bon, je dois aller chercher du café au magasin.	OK, je dois aller au magasin et acheter du café.
English: we should take a leaf out of their book, if you ask me. = French: Nous devrions prendre exemple sur eux, si vous voulez mon avis.	Qu'est-ce que tu dirais de blancs de pigeon rôtis avec des betteraves, des pommes dauphine et une sauce aux mûres ?	Et pour le pigeon rôti avec des betteraves, des pommes dauphine et une sauce aux mûres?
English: Please don’t take this the wrong way. = French: Ne le prenez pas mal s'il vous plaît.	Détendez-vous.	détendez-vous.
English: Yes, it's for work. = French: Oui, c'est pour le travail.	Mon chef ne sera pas content.	Mon patron ne sera pas content.
French: J'ai fait comme vous m'avez demandé, chef, mais comme j'étais aussi occupée à faire l'entrée pour la table 6, j'ai pas fait attention au temps et j'ai laissé brûler la crème... = English: I was doing as you asked, chef, but since I was busy making the starter for table 6, I didn't see the time go by and I let the cream burn...	OK.	OK.
English: What went on at work in the end? = French: Qu'est-ce qui s'est passé au travail finalement ?	Je ne sais pas.	Je ne sais pas.
French: Ah mais aucun problème. = English: Oh no problem.	Merci !	Merci!
French: C'est injuste! = English: It's unfair!	Je ne sais pas pour les prêts.	Je ne sais pas de prêts.
English: and the bees too = French: Et les abeilles aussi.	Cela semble vraiment sérieux.	Cela sonne vraiment sérieux.
English: If we survive I'm going to make a complaint to the airline = French: Si nous survivons, je déposerai plainte contre la compagnie aérienne.	Je sais que tu as regardé mes cartes pendant que j'étais partie.	Je sais que tu as regardé mes cartes quand j'étais absent.
English: Is that a small orange juice? = French: Un petit jus d'orange ?	J'y arrive tout simplement pas avec la grammaire...	Je ne comprends pas la grammaire.
French: Il y a bien quelques problèmes. = English: There are indeed a couple of problems.	D'abord, la voiture est tombée en panne.	D'abord, la voiture a cassé.
French: Tu est peut-être allergique, aussi, à des poils d'animaux . = English: You may be allergic to animal fur.	Vas-y, dis-moi ce qui s'est passé.	raconte-moi ce qui s'est passé.
French: C'est assez intime, un peu éloigné du reste des clients = English: It's quite intimate, slightly removed form the other customers.	Un rosé frais et sec se mariera très bien avec.	Un rosé sec et frais sera parfait.
French: Je suis sûr de gagner. = English: I'm sure to win.	On pourrait avoir des gâteaux !	On pourrait avoir du gâteau!
French: Il faut que nous commencions à préparer la pièce-montée pour le mariage ! = English: We need to start preparing the cake for the wedding!	Rien d'autre ?	Rien d'autre?
English: My first time at this particular pond. = French: Ma première fois à cet étang-là.	Le chant hebdomadaire.	Le chantonnement.
English: You look a little worried, are you ok? = French: Tu as l'air un peu inquiet, tout va bien ?	Je ne sais pas.	Je ne sais pas.
English: I remember working next to this man who was very proud of cycling 15 miles into work = French: Je me rappelle avoir travaillé à côté d'un homme qui était très fier de rouler 15 miles pour venir au travail.	Allume vite le feu !	Allume le feu vite!
French: J'espère qu'ill pourra croupipr en prison pour les restant de ses jours, dévoré par les rats. = English: I hope that he rots in prison until the end of his days, eaten by rats.	De toute façon je n'ai jamais aimé les films français.	je n'ai jamais aimé les films français de toute façon.
English: Vegetable bed it is. = French: Alors ce sera un lit de légumes.	Ça devient confus.	Ça devient confus.
French: Et plein de conservateurs. = English: And full of preservatives.	Qu'est-ce que nous allons dire aux clients ?	qu'est-ce qu'on va servir à nos clients?
English: One place after the other was closed, closed, CLOSED. = French: Tous les restaurants étaient fermés, fermés, FERMÉS.	J'ai toujours trouvé romantique l'idée que nous pourrions vieillir ensemble.	Je pensais toujours que l'idée de vieillir ensemble sonnait romantique.
French: Mais si on a une bonne raison de devoir lui parler, elle est toujours prête à discuter. = English: But if you have a good reason to need to speak to her, she's always willing to talk.	Ça je m'en souviens.	Je me souviens que
English: It protects me from social media intrusion. = French: Ça me protège des intrusions via les réseaux sociaux.	Parfois ils font payer le lieu pour les fêtes.	Parfois, ils facturent l'espace pour la fête.
English: I've had a rubbish day, so something strong would be good! = French: J'ai eu une journée de merde, donc quelque chose de fort serait bien !	Je peux en apporter quelques uns en plus, sinon on pourrait louer des verres au supermarché.	Je pourrais apporter des pièces de rechange, ou nous pourrions louer des verres au supermarché.
French: Je ne prévois pas d'inviter la reine d'Angleterre! = English: I'm not planning on inviting the Queen of England!	Merci.	Merci
English: The nurses seem to be queuing up! = French: Les infirmières ont l'air de faire la queue !	Nous ne sommes qu'une PME.	Nous sommes une petite entreprise.
French: Je dirais que oui. = English: I'd say so.	Bonjour ma chère, ça fait un bail !	Bonjour ma chère, ça fait longtemps!
English: Do you have a torch? = French: As-tu une torche ?	Bonne nuit.	Bonne nuit
French: Mais non, tu n'es pas toujours de mauvaise humeur... par contre, ce soir, tu l'es sans aucun doute ! = English: That's not true - you're not always in a bad mood... although tonight you sure are!	Tu as des idées côté animations ?	Qu'est-ce que tu en penses de l'idée de divertissement?
French: Peut être pourrait on faire une tarte au citron ? = English: Perhaps we could make a lemon tart?	Qu'est-ce que tu veux... un cocktail ?	Qu'est-ce qu'on va prendre... un cocktail?
English: Perhaps we could use them as a starter and then do a meat dish. = French: On pourrait peut-être faire ça en entrée et ensuite un plat de viande.	Oui.	Oui.
English: Thanks for chatting. = French: Merci pour cette discussion.	Mais quand on s'est retrouvés dans l'ascenseur, mon chef a commencé à me raconter une histoire effrayante où lui et quelqu'un d'autre se sont perdus dans une forêt.	Mais quand nous sommes montés dans l'ascenseur, mon patron a commencé à me raconter cette histoire affreuse sur comment il et quelqu'un d'autre s'étaient perdus dans une forêt.
French: C'est dommage, d'ailleurs. = English: It's a shame for that matter.	Voulez-vous commander quelque chose à manger ?	Voulez-vous commander quelque chose à manger?
English: There are none left. = French: Il n'en reste plus.	Bonne fin de voyage.	Bon voyage.
French: sur un même morceau de pain = English: using the same piece of bread.	Tu as réussi à finir avant l'heure limite ?	Avez-vous réussi à respecter le délai?
English: Great idea! = French: Très bonne idée !	Je ne sais pas trop s'il y a des nourritures typiques des années 80.	Je ne suis pas sûr qu'il y avait un type de nourriture particulier pour les années 1980 ?
English: Milk...? = French: Lait...?	La sauce à la pâte ?	sauce à la pâte...?
French: Le cours a t-il commencé ? = English: Has class started?	Et puis je pensais que tu m'aimais en secret depuis toujours...	Plus je pensais que tu m'aimais secrètement...
French: Allez, on y va ! = English: Come on, let's go!	Surtout quand il y a des turbulences et que le thé et le café se renversent partout !	Surtout quand il y a de la turbulence et que le thé et le café se répandent partout!
French: Ce sera vraiment beau. = English: It'll be really beautiful.	Vrai, vrai.	C'est vrai, c'est vrai
French: On prend des coquilles saint jacques = English: We take scallops.	Je me sens très triste, ces derniers temps.	Je me sens très triste ces derniers temps.
English: but it is still very scary. = French: Mais cela reste très effrayant.	Pas du tout, ça fait peur !	Non, pas tout, ça a l'air très effrayant!
English: I said deserts for fun, I meant desserts! = French: J'ai dit désert pour rire, je voulais dire dessert !	C'est très fréquent, et il n'y a pas à vous inquiéter.	C'est très courant et il n'y a pas de quoi s'inquiéter.
French: Mais tu sais que j'aime bien cuisiner, donc je peux aussi faire une partie des choses si tu veux. = English: But you know I like to cook, so I can also do some things if you want.	Ne vous inquiétez pas.	Ne t'inquiète pas.
French: Je trouve que c'est un instrument avec un son merveilleux. = English: I find it's an instrument with a fabulous sound.	Et ils n'aiment pas les escargots.	Et ils n'aiment pas manger des escargots.
French: On peut envisager de changer la règle = English: We could think of changing the rules.	Ce sera le cas, je vous le promets.	Je vous promets que ce sera.
French: Magnifique. = English: Splendid.	Avez-vous une idée du temps que cela nous a pris pour arriver ici dans la forêt ?	Avez-vous une idée de combien de temps nous avons mis pour arriver à ce point dans la forêt?
English: Maybe get some ice from there too. = French: On pourrait prendre des glaçons là-bas aussi.	Ça va être un sacré choc pour vous, n'est-ce pas ?	Ça va te faire un choc, pas vrai!
English: Nobody tells me what to do. = French: Personne ne me dit ce que je dois faire.	Le bar au coin de la rue me servira sans problème. Ils seront contents de ma venue.	Le bar en face de chez moi me servira sans problème. Ils seront ravis de ma clientèle.
English: What a lot of nonsense. = French: C'est n'importe quoi.	Ouais, je pense qu'ils nous arnaque sur l'alcool.	Ouais, je pense qu'il se fait des illusions sur l'alcool.
English: What happens in these dreams of yours? = French: Qu'est-ce qui se passe dans ces rêves que vous faites ?	Repères, comme l'étang et le parc ?	des repères, comme l'étang et le parc ?
French: ce matin ma voiture est tombée en panne = English: My car broke down this morning.	En général je travaille à Noël parce que j'habite à Londres près du bureau mais cette année j'aimerais avoir un congé pour une fois.	Habituellement, je travaille pendant les vacances de Noël parce que j'habite à Londres près du bureau, mais cette année, j'aimerais prendre des congés pour changer.
English: Really! = French: Vraiment ?	Regarder les canards est très apaisant.	Regarder les canards est très apaisant.
French: C'est à nous de payer les réparations avec nos salaires ! = English: It's up to us to pay for repairs with our salary now?	Je viens de chercher cette date sur Google et il y avait des troubles en France avec des manifestations.	J'ai juste vérifié cette date sur Google et il y avait des manifestations en France.
English: It's not even straight. = French: Elle n'est même pas droite.	Hmmm, je n'en suis pas sûre.	Hmm, je ne suis pas sûr de ça.
French: Je suggère de nous en tenir là pour ce soir et nous reprenions la question ultérieurement. = English: I suggest we leave it at that for the evening and pick up the question later on.	Quand vous en saurez plus, je prendrai un rendez-vous avec le responsable de la maintenance.	Quand vous aurez le récit, je prendrai rendez-vous avec le Chef de la maintenance
English: So a cheap French place. = French: Dans ce cas un restaurant français pas cher.	Dommage que j'aie le siège côté couloir.	C'est dommage que j'aie le siège du milieu.
French: Pas très bien non. = English: Not really, no.	OK, tu passes devant.	ok - tu nous guides.
French: Hey, let's go swimming :) = English: Hey, let's go swimming :)	Quelle est la dernière chose dont tu te souviennes ?	Qu'est-ce que tu te souviens de la dernière chose?
English: I'll help you if you like. = French: Je vais t'aider si tu veux.	J'essaye de faire de mon mieux.	Je fais de mon mieux.
French: Justement, le conseillé est de mêche ! = English: That's just it - the counsellor is in on it all!	Vous connaissez les poissons également ?	Vous connaissez le poisson aussi?
French: Cela m'occupera l'esprit = English: It'll help take my mind off it.	Est-ce que ton portable est chargé ?	Votre téléphone est chargé?
English: Hello, yes it's a lovely day. = French: Bonjour. Oui, c'est une belle journée.	Je me demande s'ils se sont déjà regroupés en syndicat contre la classe dominante des fermiers.	Je me demande s'ils ont jamais fait grève contre la classe dominante des agriculteurs.
French: Vous avez des idées sur la façon de faire une sauce sans sel qui soit bonne quand même? = English: Do you have any ideas about how to make a salt-free sauce that's good anyway?	J'aimerais faire du sport mais j'ai l'impression de ne plus avoir la moindre énergie.	J'aimerais faire du sport mais je ne semble pas avoir d'énergie.
French: Même si ça tombe mal, il vaut mieux ça plutôt que ce soit l'ascenseur qui tombe ! = English: Even if it falls at a bad time, better that than the lift falling!	J'ai été coincée dans un ascenseur pendant quatre heures quand j'étais enfant.	J'étais coincé dans un ascenseur pendant quatre heures quand j'étais enfant
French: C'est une bonne idée pour se détendre! = English: That's a good way to relax!	Comment allez-vous ?	Comment ça va?
French: Vous êtes cruel ! = English: You're cruel!	Attends ! J'essaie d'être compréhensif car je sais que tu as des problèmes personnels mais s'il te plaît mets-toi au travail.	Vous êtes cruel!
English: I meant that when I have a party for my birthday you may enjoy some different type of music but for your party rock/pop will be great = French: Je voulais dire que quand je fais une fête pour mon anniversaire, tu pourras profiter de différents types de musique, mais que pour ta fête, le pop/rock ira très bien.	Ensuite quand je me suis excusé pour mon retard à ma réunion j'ai réalisé que j'avais laissé mes documents à la maison.	Alors quand j'ai présenté mes excuses pour être en retard à une réunion, j'ai réalisé que j'avais oublié mes papiers à la maison.
English: I think the main thing is that it is difficult not to be completely in control = French: Je pense que le point clé est qu'il est difficile de ne pas avoir le contrôle total.	Malheureusement je ne me sens pas en pleine forme.	Je ne me sens pas si bien, malheureusement.
English: It was written in 2010--in other words, long before the current hell--and he talks about Trump at some length! = French: Il a été écrit en 2010 – en d'autres mots, bien avant l'enfer actuel – et il parle beaucoup de Trump !	Je vais me coucher.	Je suis au lit.
English: I think it is probably better if you ask friends to bring a bottle = French: Je pense que ce serait mieux que tu demandes à des amis d'apporter une bouteille.	Tu peux utiliser Google Maps...	Tu peux utiliser Google Maps...
English: I work from home and it's nice to get out and be with people as it's quite lonely not seeing anyone all day. = French: Je travaille à domicile et c'est agréable de sortir et d'être avec d'autres gens car on se sent bien seule quand on ne voit personne de la journée.	Elle était absolument délicieuse.	C'était absolument délicieux.
English: I'm very excited to see her. = French: Je suis très impatiente de la voir.	Pouvons-nous utiliser l'argent que nous avons mis de côté pour les vacances ?	Nous pourrions utiliser l'argent que nous avons mis de côté pour les vacances?
French: Vous croyez vraiment? = English: Do you really think so?	Les poivrons doivent être grillés et ensuite pelés.	Les poivrons ont besoin de griller et puis de peler
English: We have a deal...bon appetite! = French: Ça marche... bon appétit !	Non.	Non.
English: Then when I apologised for being late for a meeting I realised I had left my papers at home. = French: Ensuite quand je me suis excusé pour mon retard à ma réunion j'ai réalisé que j'avais laissé mes documents à la maison.	Il portera sur tout ce que nous aurons étudié d'ici mardi prochain, donc commencez bientôt à réviser.	Nous allons couvrir tout le matériel jusqu'à la semaine prochaine, alors commencez à étudier bientôt!
French: Pas très bien non. = English: Not really, no.	Cela semble parfait.	Ça a l'air parfait.
French: Ah oui, ça je veux bien par contre! = English: Oh yes, that I would like!	Très bien.	D'accord, bon
French: A je vois vous êtes un spécialiste ! = English: Oh I can see you're a specialist!	Si mes soupçons sont corrects, le faire voudrait dire sombrer dans la dépression.	Si mes soupçons sont exacts, faire cela, signifierait tomber en dépression.
French: Non non ne je veux pas y aller seul, c'est absurde. = English: No, no, I don't want to go alone. It's ridiculous.	Je crois qu'il va y avoir un bingo bientôt.	Je pense qu'il y aura bientôt le bingo.
English: There is no ocean below us, only Pakistan = French: Il n'y a pas d'océan en dessous, seulement le Pakistan.	Respectez aussi quelques règles bien connues pour aider à dormir, et notamment pas d'ordinateur ou de smartphone juste avant d'aller au lit, et pas non plus de télévision.	Merci de respecter également quelques règles simples pour un sommeil facile comme ne pas utiliser d'ordinateur ou de smartphone juste avant de se coucher, ni la télévision.
French: Sans vouloir te vexer, vec ton déambulateur et ton dentier, je ne suis pas certaine que tu aies beaucoup de succès avec les jeunes femmes.... = English: Without wishing to cause offence, I'm not sure you'll have much success with the young women with your Zimmer frame and your false teeth...	Je ne pense pas que l'on puisse faire mieux que se réveiller au son des oiseaux.	Je ne pense pas que tu puisses battre le fait de se réveiller au bruit des oiseaux.
English: Bye! = French: Au revoir !	Est-ce que tu veux que les invités payent leur repas ou payeras-tu pour tout le monde ?	Voulez-vous que vos invités paient pour leur propre nourriture ou voulez-vous payer pour tout?
English: Here you are. = French: Tenez.	Ça me protège des intrusions via les réseaux sociaux.	Il me protège de l'intrusion des médias sociaux.
French: Salut ! = English: See you!	Et puis j'ai faim.	Je suis aussi affamé.
English: Right. = French: Bon.	Je suis vraiment impatiente d'y être, du coup !	Je suis vraiment impatient maintenant!
English: I came in by car today to avoid the buses. = French: Je suis venu en voiture aujourd'hui pour éviter les bus.	Bon, c'est assez fatiguant aussi...	Attends, c'est aussi fatiguant...
