French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: Avec du tabac aussi ? = English: Tobacco too?	Of course not!	Of course not!
French: Ce que je trouve fascinant à son sujet c'est la question de savoir ce qu'elle a fait quand elle a disparu et que certaines personnes ont pensé qu'elle s'était suicidée. = English: What I do find fascinating about her is the question of what she did when she disappeared and some people thought that she had committed suicide.	Ok, well I'll leave you be for another 15 minutes with your genealogist.	Well, I will leave you another 15 minutes with your genealogist.
French: Mettez beaucoup de fromage surtout ! = English: But whatever you do, use plenty of cheese!	I'll need a lot of beer to wash down all those burgers.	I need a lot of beer to get through all these burgers!
French: ah bon ? = English: Oh really?	Well that's funny. I live by the same principles as the entire class.	Yet it's fun, I have the same principles as the whole class
French: Donc vous mixez, et c'est presque prêt. = English: So then you blend it and it's almost ready.	All that's left is to dish up.	All that's left is to dress.
French: Une planche pour déguster en même temps ? = English: A tasting platter with that?	I can do that for you.	I can do that.
French: Pas de quoi. = English: You're welcome.	If you have more questions or problems, don't hesitate to come and see me again.	Please do come back to see me if you have any more questions or problems.
French: elle est née le jour de la fête nationale et donc nous avons convenu de l'appeler Fetna, comme écrit dans le calendrier = English: She was born the same day as the National Holiday and so we agreed to call him “Fetna”, after what's written in the calendar.	It's stupid, but my parents and I found it funny.	It's silly but it made us laugh with my parents.
French: C'est vrai. = English: That's true.	We all have to coexist.	We are all obliged to cohabit.
French: ah ! = English: Oh!	Ok!	OK!
French: C'est vrai qu'on passe trop de temps devant la télé. = English: Yes, we do spend too much time in front of the TV.	We know it, but keep doing it.	We know it, but we keep on doing it.
French: Bon tant pis. = English: Ok, never mind.	I'll have a gin tonic please.	Put me a gin tonic, please.
French: et de discuter de l'aspect financier = English: And to discuss the money side of things.	But also the menu.	but also the menu.
French: C'est Martin qui nous a présentés. = English: Martin introduced us.	But she must be 20 years older than you!	But she must be 20 years older than you!
French: On y va? = English: Shall we go?	I like the pool, but we're not staying here all afternoon!	I like the pool, but we are not going to stay here all afternoon!
French: Mon mari ne comprend pas à quel point mon travail est stressant. = English: My husband doesn't understand how stressful my job is.	Have you told him that clearly?	Did you tell him clearly?
French: Bon courage. = English: All the best.	Oh damn, they only have Jack Daniels.	Oh dear, they only have Jack Daniels.
French: Laissez-moi vérifier le parachute pour voir s'il est capable de supporter deux personnes. = English: Let me check the parachute to see if it is capable to hold two people	And I'm sure that there are people who deserve not to die more than me.	Besides, I am sure there are people who deserve more than me to not die.
French: Ainsi qu'à Mexico. = English: And to Mexico.	I brought back in particular some very beautiful stones.	I
French: Je vais acheter les décorations. = English: I’ll buy the decorations!	I was planning on inviting Rachel. You know her.	I thought of inviting Rachel, you know her.
French: Peut-être plus tard. = English: Maybe later	You're not going to stay here doing nothing!	you are not going to stay idle!
French: Il faudra que je demande à Archibald de gérer ça en urgence. = English: I need to ask Archibald to handle it urgently.	Well, we're standing here chatting, but we're still stuck.	Okay, we discuss, we discuss, but we are still stuck.
French: Je ne sais pas pourquoi je vous dit ça. = English: I don't know why I'm telling you that.	Get us out of here!	Get us out of here!
French: L'odeur de l'ail t'empêchera de flirter avec les serveuses, de toute façon. = English: Smelling of garlic will stop you flirting with the waitresses anyway	You're cruel!	You are cruel!
French: Ça c'est pour les jours de fête! = English: That's for special occasions!	Right, the ducks are still here.	Well, the ducks are still here.
French: Tout ira bien, = English: Everything'll be ok.	Flying's very safe.	the plane, it's very safe.
French: Pas du tout, tu prévois de déménager en Laponie su tu veux, moi je vais sur la côte d'azur! = English: Not at all. You can plan to move to Lapland if you want. I'm going to the Côte d'Azur!	I'm a sensitive and fragile person, just like my little dog.	I'm a sensitive and fragile character, just like my little dog.
French: Journaliste, ça doit être un métier difficile, non ? = English: Journalism must be a difficult job, right?	I work in IT and I work from home too.	I am a computer programmer, and I work from home too.
French: Ben le truc c'est que plus il y aura de monde, moins il y aura de gâteau pour nous ! = English: Well, the thing is, the more people there are, the less cake there’ll be for us!	That's not a very Christian idea!	that’s not very Christian of you!
French: Je vais lui proposer qu'il demande à ses parents de lui en acheter. = English: I will suggest that he asks his parents for them.	Well, it does depend on the shape of his glasses.	Actually it depends on the shape of the glasses.
French: Moi pas trop. = English: I don't really.	I might take out my smartphone and use Google anyway. But if I understood correctly, that will set off your allergies again!!	I might as well use my smartphone and Google but if I understood correctly, it will trigger a new allergy attack in you.!
French: Mais tu t'es coupé tout le doigt ! = English: But you've cut your finger off!	You need to go to accident and emergency!	You have to go to the hospital!
French: ça fait deux jours que je regarde les gens autour de la piscine = English: We've been looking at the people round the pool for two days.	And there aren't many interesting people.	and there are not many interesting people.
French: Des chats gentleman qui boivent du cognac, fument la pipe et discutent de la grande dépression ? = English: gentlemen cats that drink cognac, smoke pipes and blather on about the Great Depression?!	Moustaches are what certain men wear between their mouths and noses.	moustaches are what some men wear between their mouth and nose.
French: OK parfait, je vais chercher des gens et je reviens! = English: Ok, great, I'll just go get some people and I'll be back.	Be right back.	See you soon.
French: Personnellement j'opterai pour des tranches d'ananas flambées à l'armagnac. = English: Personally I would go for pineapple slices flambéed in Armagnac.	What do you think?	What do you think about it?
French: C'est peut-être un pirate ? = English: Maybe he is a pirate?	And we'll dance!	And we will dance!
French: Mon téléphone n'a plus de batterie. = English: My phone is out of battery.	It's already 8pm and it's getting dark.	It's already 8pm, the night is coming.
French: les instructions n'étaient pas claires = English: The instructions weren't clear.	What's going to be in the exam?	What will be on the exam?
French: Ça je m'en souviens. = English: I remember that	Did she look after you much?	Did she take care of you a lot?
French: On devrait peut-être juste dormir. À plus tard. = English: Maybe we should just sleep, bye for now	Yes, a nice glass of champagne would do me good.	Yes, a good glass of champagne will do me good.
French: et j'ai dû me justifier le reste de la journée = English: And I had to justify myself all day.	I won't get that promotion.	I wouldn't get this promotion.
French: Prenez un melon, coupez-le en deux, enlevez les pépins, et récupérez la chair du melon à l'aide d'une cuillère. = English: Take a melon, cut it in two, take out the seeds and scoop out the melon pulp with a spoon.	Put the pulp into the blender.	Put the pulp in the blender.
French: Tout ira mieux après une bonne boisson chaude. = English: Everything will seem better after a nice warm drink.	That's nice of you but I'd prefer a coffee.	That's nice but I prefer a coffee.
French: L'obesité est devenu un problème mondial. = English: Obesity has become a worldwide problem.	But with good produce, we can inspire people to want to eat better!	But with good products, you can give people the desire to eat better!
French: Est-ce que je peux vous apporter quelque chose d'autre à la place ? = English: Can I get you something else instead?	No thanks.	No thanks.
French: Mais comment es-tu rentrée ? = English: But how did you get home?	Did you leave your car at work?	Did you leave the car at work?
French: Monter sur cette colline nous donnera en effet la bonne visibilité et le village sera éclairé donc on le repèrera facilement pour aller dans la bonne direction. = English: Climbing that hill will certainly give us a clear view and the village will be lit up so we'll easily see it in order to go in the right direction.	Let's go!	Let's go!
French: C'est vrai que j'aime bien les bons gâteaux. = English: I do like a good cake.	Oh, why here's the stewardess!	Ah, here comes the hostess!
French: Quel type de fête tu penses que ça devrait être ? = English: What kind of party do you think it should be?	It's your birthday.	It's your birthday.
French: Je ne vous ai jamais vu dans le coin avant. = English: i haven't seen you around these parts before	You're right. Perhaps they're strange ducks, which preferred to live in the company of horses.	You are right, maybe it is a special kind of duck, that preferred to live in the company of horses.
French: Après tout, nous sommes spécialisés en bières. = English: after all, we are beer specialists	Perfect!	perfect!
French: Oh, c'est un peu déplacé ce que tu me dis là ! = English: Oh, that's a bit uncalled for saying that to me!	I'm just very tired and stressed by work. I need to relax.	It's that I'm very tired and stressed by work, I needed to decompress.
French: Mon prochain cours commence dans un instant donc je n'ai plus beaucoup de temps, malheureusement. = English: My next lesson starts shortly so I don't have much more time unfortunately.	No worries, that's already a big help.	No problem, that's already a lot.
French: Et puis ça fait partie de la culture générale de toute personne éduquée. = English: And it's part of any educated person's general knowledge.	Not knowing history means coming from nowhere and being lost in the present.	Not knowing history is coming from nowhere and being lost in the present.
French: Toutes les semaines. = English: Every week.	My company is split between two countries.	My company is bi-
French: Le problème, c'est la lumière. = English: The problem is light.	We could get lost or stumble on something and get injured.	We risk getting lost or tripping over an obstacle and hurting ourselves.
French: Je crois qu'un gin me remonterait le moral, me ferait sentir plus heureux. = English: I think a gin would cheer me up, make me feel happier	Please do, I'm paying.	Please, I offer it to you.
French: Elle passe son bac cette année. = English: She's taking her final exams this year.	She's still doing music and plays in a symphony orchestra.	She's continuing with music and is a member of a symphony orchestra.
French: J'avais une pièce montée pour mon mariage. = English: I had a croque en bouch for my wedding!!	Yes a chocolat cake, and an apple one I think.	Yes, a chocolate cake, and another one with apples I think.
French: Tu as bien dit que tu aimais les lapins, n'est-ce pas ? = English: You did say you liked rabbits, didn't you?	I'll take the basket if it's ready!	I take the basket if it's well filled!
French: On pourrait même demander aux gens de venir avec des trucs, non? = English: We could even ask people to bring stuff, couldn't we?	Food or drink, for that matter.	Drinks or food, by the way.
French: Mes parents pensaient juste que j'avais piqué une crise. = English: My parents just thought I had gone off in a strop	It's not very nice to go through such an experience all alone, especially when you're a child.	To live through this type of experience, especially as a child, is not very pleasant.
French: Je pense que je perds la tête ! = English: I think I'm losing my mind!	What's wrong with you?	What is the matter with you?
French: C'est vous qui semblez être vraiment stressé. = English: You're the one who looks really stressed.	Don't worry, everything will be ok.	Don't worry, everything will be fine.
French: Je serai Octopussy ! = English: I'll be Octopussy!	Do you want me to be James?	You want me to be James?
French: Et vous ? = English: How about you?	What brings you here?	What brings you here?
French: Le médecin dira probablement « non », donc je vais juste sortir acheter une bouteille de vin pas cher et le cacher dans mon placard. = English: Doctor will probably say 'no', so I'll just go aout and buy a bottle of cheap wine and hide it in my locker	Perhaps that will cheer up you a bit...	Maybe this will cheer you up...
French: Tapons des pieds et crions fort. = English: Let’s stamp our feet and shout loudly.	I can hear a noise.	I hear some noise.
French: Tu as des idées ? = English: Have you had any thoughts?	Let's stay simple: pain surprise, salami, bread, pickles, etc.	let's keep it simple, surprise bread, salami, bread, pickles, etc.
French: Tu es ici pour travailler, sinon pars immédiatement. = English: You are here to work to just leave now	Very good!	Very good!
French: OK, je vais voir si c'est bien ça. = English: Ok, I'll see whether that's it.	Perhaps you can see whether your phone's got any signal.	Perhaps you could check whether your mobile phone is working.
French: Est-ce que je garnis avec un peu d'aneth ? = English: Shall I use a little dill to garnish?	I didn't understand that question.	I didn't understand that question.
French: Je l'ai refusée. = English: I turned it down.	In your opinion, what made you scared?	What made you afraid?
French: Mais de quoi parle-tu ? = English: But what are you talking about?	You can go if you want and then you can come back and find me.	You can go if you want and you come back and get me.
French: Et vous pouvez peut-être prendre un peu des restes pour votre chien. = English: And perhaps you can take some of the waste food for your dog.	You're very kind, chef.	You are very kind, chief.
French: Comme on dit, le client a toujours raison. = English: as we say, the customer is always right.	But whatever you do, use plenty of cheese!	Put a lot of cheese, especially!
French: Je peux m'allonger sur ce canapé? = English: Can I really lie down on the sofa?	Are you sure?	Are you sure?
French: Je vais travailler chez Chanel et démission dès à présent de ce travail alimentaire pourri ! = English: I'm going to work at Chanel and step down immediately from this rubbish day job!	Frankly, using garlic isn't fitting for someone of my calibre!	Seriously, using garlic is not for someone of my caliber!
French: Oui, beaucoup de choses à voir en Amérique du Sud. = English: Yes, lots of things to see in South America.	Did you get to go to Argentina or go to see the Inca ruins?	Did you manage to go to Argentina, or see the Inca ruins?
French: Il y a plein de place ! = English: there's plenty fo room!	Oh but I don't support Trump at all.	I don't support Trump at all.
French: Mes préférés sont les raisins de Corinthe, les raisons secs et les abricots secs. = English: Sultanas, raisins and dried apricots are my favourites.	Ok, I'll make that for you.	Okay, I'll do that for you.
French: Je vous propose donc qu'on se revoit une fois par semaine pendant 6 mois. = English: I therefore suggest that we see each other once a week for 6 months.	Today will be $150.	For today, that will be 150 $.
French: Ah bon ? = English: Really?	What do you want us to do?	What do you want us to do?
French: Pourrais tu passer dès 14 heures pour m'aider à tout installer ! = English: You could come round about 2pm to help me get everything set up?	The party will be tonight, but it could be nice to get everything ready together since you are full of good ideas!	The party will be tonight, but, if you're free, it would be nice to prepare together since you have so many good ideas!
French: Où sont les oignons? = English: Where are the onions?	I'm waiting for the onions.	I am waiting for the onions.
French: des confitures ? = English: Jams?	Cheese?	Cheese?
French: Bon, je prends conscience que le problème est vraiment prise de tête et demande une réflexion approfondie. = English: Right, I acknowledge that the problem is a real headache and requires careful consideration.	I suggest we leave it at that for the evening and pick up the question later on.	I suggest that we leave it at that for tonight and we take up the question later.
French:  = English: 	Right, I've got my book and my essential oils... will that do?	I took my book and my essential oils... is that enough?
French: on a 5 heures avant le repas de ce soir. = English: We have 5 hours before tonight's meal.	We can go to the supermarket and see what they have.	I can go to the supermarket and see what they have.
French: J'ai l'impression que nous allons juste devoir utiliser les restes d'hier et espérer qu'ils ne remarquent rien. = English: i guess we'll just have to use leftovers from yesterday and hope they don't notice anything wrong	We have 5 hours before tonight's meal.	we have 5 hours before the dinner tonight
French: J'ai précisément les plans que je dois vous montrer demain. = English: It just happens that I have the plans I am to show you tomorrow morning.	Do you want to see them?	Would you like to see them?
French: Oui, on peut y rajouter de l'huile d'olive avec des betteraves. = English: Yes, we can add olive oil with the beetroot.	They go well together I think.	it seems to go well.
French: Envoyez ça en salle. = English: Send it into the dining room.	Next order...	Next order...
French: cool = English: Cool.	The mojito is here.	The mojito has arrived.
French: Ah, je veux bien un mojito s'il te plait! = English: Oh, I'd like a mojito please!	And can you tell the waiter not to rip me off with the amount of rum this time?	And you can tell the waiter that this time he doesn't try to cheat me on the amount of rum?
French: C'est très agréable! = English: It's very enjoyable!	You'll be proud of yourself when you get there!	And arriving you will be proud of yourself!
French: Oui, tout à fait. = English: Yes, you're right.	We have the pool to ourselves!	We have the pool for both of us!
French: Pas de problème. Est-ce que c'est la dérivation ou l'intégration dont vous avez besoin d'aide pour comprendre les principes ? = English: No problem - is it differentiation or integration you're needing help with the principle of?	The exam will cover everything we've seen in the second term, right?	Are we agreed that the exam will cover all the concepts covered in the second semester?
French: Vous en avez trois maintenant ou est-ce que je compte mal ? = English: Three is it now or am I miscounting!	Ah, that's good!	Ah, that's good!
French: Oui c'est clair. = English: Yes, definitely.	The advantage of an operation is that you're asleep during it!	The advantage of an operation is that you sleep through it.
French: Votre sœur, votre mère, un ami ? = English: Your sister, your mother, a friend?	No, nobody I recognise.	No, nobody I recognize.
French: Mais cela fait déjà plus d'une heure que nous sommes là. = English: But we've been here for more than an hour already.	We could go for a bit of a walk in town.	We could go for a walk in the city.
French: Signez en partant à la réception, s'il vous plaît. = English: Please sign out at reception when you leave.	Ok, thank you for your time. Sorry to have bothered you.	Okay, thank you for your time, sorry to have bothered you.
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English: I don't feel there's enough staff.	I spend all day running everywhere, following my boss's orders. I'm completely exhausted by the end of the day...	I run around all day, following my boss's orders, I finish the day completely exhausted...
French: Désolée une erreur = English: Sorry a mistake.	Perhaps the eggs come from enormous fish.	Maybe the eggs come from huge fish.
French: Lorsque je vois du vert, je vois aussi du rouge. = English: When I see green, I also see red.	Is it serious, doctor?	Is it serious, doctor?
French: Je suis sûr que ça va vous aider à vous sentir un peu mieux ! = English: That should make you feel a bit better, surely!	We'll see!	We'll see!
French: Si tu veux tu peux aussi faire un tour avec le chien. = English: If you want, you could go for a stroll with the dog too.	He can stretch his legs - he'd like that.	It will stretch his legs and make him happy.
French: Je peux vous faire ça. = English: I can do that for you.	Do you have a preference?	Do you have any preferences?
French: J'arrive à me détacher du travail pour de bon, mais ça m'épuise. = English: I am definitely forgetting work but it does wear me out	You need to take your mind of it. Holidays are just the trick for that.	you have to change your mind, holidays are for that
French: de mon côté, j'ai prévu de rejoindre des amis qui vivent là bas. = English: As for me, I've planned to meet some friends who live there.	I'm mainly going to see them, but also to enjoy the city and everything it has to offer.	The main purpose is to see them, but also to enjoy the city, and all it has to offer.
French:  = English: 	Oh it's a pleasure to see you.	Ah, it is good to see you.
French: Très bien ! = English: Very good!	I'm going to work.	I will work.
French: Oui, ça va être sympa! = English: Yes, it's going to be lovely!	You've given me an idea: let's do a royal barbecue!	You gave me an idea: let's have a royal barbecue!
French: Où sont situées la galerie d'art et la cathédrale. = English: Where's the art gallery and the cathedral?	Are they far from here?	Is it far from here?
French: Une fois au dessus des nuages, tout est calme, il y a de la lumière, ça donne plein d'idées. = English: Once you're above the clouds, everything is calm, there's light... you get lots of ideas.	And flying is a real safe means of transport.	And the plane is an extremely safe means of transport.
French: J'ai fait mes devoirs sans problème hier. = English: I had no problem with my homework yesterday.	Ok, do you have an exam paper and some sheets?	OK, do you have an exam sheet and copies?
French: Le temps est si beau que je me dis que je pourrais prendre un jour de congé. = English: The weather is so nice I fancy taking a day off	I'd like to remind you that classes are compulsory.	I remind you that the classes are compulsory.
French: Je comprends pour ton dos et je suis désolée ! = English: I feel for you about the back and I'm sorry!	I hope it'll ease up soon.	I hope it will calm down soon.
French: Il chantait même en dormant. = English: He even used to sing in his sleep.	I don't know why I'm telling you that.	I don't know why I am telling you this.
French: La voilà, et voilà vos olives. Mais je suis désolée nous n'avons pas de tranches de saucisson. = English: Here you are, and your olives, but I'm sorry we don't have any sausage rings.	You don't have any sausage?	You don't have any sausage?
French: Tu as pensé la même chose que moi ! = English: You had the same thoughts as me!	I don't have much battery left.	I have almost no battery left!
French: Ce n'est pas le bon moment ! = English: This is not good timing!	It's never the right time for a lift breakdown!	A lift breakdown is never a good time!
French: Il parait qu'il est très gentil. = English: He's very nice apparently.	We should be able to ask him for an autograph at the end.	We can probably ask him for an autograph at the end.
French: Est-ce que ton téléphone en a une ? = English: Does your telephone have one?	All you need is GPS, no need for a data connection.	It is enough with GPS, no need for data connection.
French: d'accord je vais te chercher ta boisson = English: Ok, I'll go get you a drink.	Do you want some water?	Do you want some water?
French: Très bien; Je prendrai aussi une tartine beurrée et un croissant = English: Great. I'll also have some buttered toast and a croissant.	Yes, I'm just passing through town for a work meeting.	Yes, I'm in town for a business meeting.
French: Même si ça me fait un peu peur qu'ils aient des fours à bord. = English: Although I'm a bit worried about the fact that they have ovens onboard.	Oh!	Ah!
French: 5 minutes chef je démarre la cuisson = English: 5 minutes chef. I'm starting cooking.	Damn, I've burnt the steaks.	oh no, I burnt the steaks.
French: c'est normal que tu aies chaud, tu es au soleil = English: It's normal for you to be hot - you're in the sun.	Ok, I'll go get you a drink.	OK, I'll get you your drink.
French: Non merci. = English: No thanks.	Do you have any other special recipes here?	Do you have any special recipes here?
French: C'est vraiment hilarant. = English: That's really hilarious.	I agree with you there - it's fun.	I agree, it's funny.
French: Ils sont empoisonnés ! = English: They're poisonous!	I'm preparing a magic potion, but I won't tell you what it's for.	I'm preparing a magic potion, but I won't tell you for what purpose!
French: Je vous l'accorde, c'est amusant. = English: I agree with you there - it's fun.	But it's also incredibly stressful for people like me.	But it's also terribly stressful for people like me.
French: Tu a eu ton moment sous les projecteurs. = English: You got your moment in the limelight	Well, since I didn't have an audience	and well, since I didn't have an audience
French: Et depuis combien de temps êtes-vous chef ? = English: And long have you been a chef?	Ah yes, great.	yes, super
French: Il me semble que nous devions prévoir une entrée avec du poisson. = English: I think we had to prepare a fish starter.	Then a meat main course and finally a dessert with red berries.	Then a meat dish, and finally a dessert with red fruits.
French: J'adorerais y aller. = English: I would love to travel there	I worked there for 6 months as a waitress.	I worked there for 6 months as a waitress
French: Mais il s'est un peu énervé - et ce devant tout le bureau ! = English: But he did have a bit of a go - and in front of the entire office!	Come on! With what he earns, he can very well buy himself another one!	It's OK, with all the money he makes, he'll buy himself another one!
French: Ne t'inquiète pas, moi aussi je suis ici. = English: Don't worry, I've ended up here too.	I went to pick mushrooms in an area I thought I knew well.	I was going to pick mushrooms in a place I know very well.
French: Les défenseurs des canards ! = English: duck vigilantes!!	And bees!	and the bees!
French: Allô! = English: Hello!	It's Julie here!	It's Julie!
French: C'est très simple. = English: It's very simple.	Take a melon, cut it in two, take out the seeds and scoop out the melon pulp with a spoon.	Take a melon, cut it in half, remove the seeds, and scoop out the melon flesh with a spoon.
French: Où es-tu parti cette année ? = English: Where did you go this year?	My holidays amount to a couple of walks around the retirement home.	My holidays are just a few walks around the retirement home.
French: par contre, je vais prendre un café plutôt... = English: But I'll take a coffee instead...	I got up early this morning to get the plane, and I need a coffee to help me wake up a bit!	I got up a bit early to catch the plane, and I really need this coffee to wake me up a bit!
French: Tu as ouvert le tien ? = English: Have you opened yours yet?	With the map we would have quickly found the shortest path to the best restaurant in the area.	With the map we would have quickly found the shortest way to the best restaurant in the area.
French: Tu râles vraiment beaucoup. = English: You are moaning an awful lot	Sorry?	Excuse me?
French: Je vais juste en couper quelques unes et te montrer. = English: I ll just cut a couple and show you	Yes, we can add olive oil with the beetroot.	Yes, we can add olive oil with beets
French: De mon côté je vais préparer un super fondant au chocolat ! = English: And I'll prepare a lovely chocolate fudge cake!	We can accompany it with ice-cream or custard.	We can serve it with ice cream or a custard.
French: Je ne dors pas = English: I'm not sleeping.	I'm trying to find out what's troubling me.	I'm trying to find out what is worrying me.
French: Ils me connaissent bien. = English: They know me well.	They always give me extra cakes.	They always give me a little cake on top.
French: Je pense que tu peux déjà commencer à réaliser le caramel, le pâtissier a déjà préparé les choux. = English: I think you can start to make the caramel. The baker has already prepared the choux buns.	We've got lined up:	We have planned:
French: Comment pensez-vous que nous puissions résoudre ce problème ? = English: How do you think we can resolve this?	I have principles, as I've told you.	I have principles, I told you
French: Nous marchons dans la forêt depuis longtemps et j'ai l'impression que nous sommes dans un cul-de-sac. = English: We have been walking in the forest for a long time and we seem to have come to a dead end.	I'm cold.	I am cold.
French: Oui il est là = English: Yes, he's there.	He's cooking fried eggs.	He is cooking eggs on the pan.
French: Tu pourrais essayer de convaincre le gros pervers que cette Anya ne veut que son argent, et que tu es la seule personne qui l'aime vraiment! = English: You could try to convince the dirty lech that Anya doesn't want his money and that you are the only person who really loves him!	That could work - old people are often very paranoid.	It could work, old people are sometimes very paranoid.
French: Bonjour, c'est la première fois que vous prenez l'avion ? = English: Hello! Is it the first time you've flown?	I'm sensing you're a bit nervous...	I can feel you're a bit nervous.
French: Mais je n'aime pas les oignons = English: But I don't like onions.	Do you have a burger without onions?	Do you have a burger without onions?
French: Est-ce qu'on parle de politique française ou britannique ? = English: Are we talking about British or French politics?	If it's not written in the title, then it's up to you to define it.	If it is not specified in the question, then it is up to you to define it.
French: C'est pour ton anniversaire. = English: It's your birthday.	What would you like to do?	What would you like?
French: Pas de problème . = English: No problem.	I'm sure to win.	I'm sure to win.
French: Il y en a au saumon, au caviar, et au foie gras = English: There are salmon, caviar and foie gras ones.	You mean how many guests?	Do you mean how many guests?
French: Il y en avait pas mal. = English: There were a few.	I hope you got to go to Mach Picchu anyhow.	I hope you were able to go to Machu Picchu.
French: Qu'est-ce que tu crois ? Que je devrais pouvoir monter vingt étages parce que je suis en pleine forme ? = English: What are you thinking I should be able to climb twenty floors because I m so fit?	I have no idea which floor your office is on, you know.	I have no idea at which floor your office is, you know.
French: Qui aurait dit que cette panne d'ascenseur pourrait être une bonne chose ! = English: Who knew that lifts breaking down could be a good thing!	But I find help is very long time coming.	But I find that the rescue services are taking a long time to arrive.
French: L'ascenseur est encore en panne. = English: The lift's broken down again.	I think as the boss, you should do something to stop it breaking down!	I think you should, as the boss, do something to stop these breakdowns!
French: Oui, ça ne va pas trop en ce moment... Mon chien est malade, mais mère me bat, et en plus j'ai des cafards dans mon appartement! = English: Yes, I'm not feeling great at the moment... My dog is ill, my mother hits me, and on top of that I've got cockroaches in my flat!	But everything's fine. I'll redo the dessert, and I promise to be on time and to be more careful!	But everything's fine, I'm making the dessert, and I promise I'll be on time and I'll be careful!
French: Et vous ? = English: What's yours?	I'm called Mathilda.	My name is Mathilde.
French: Je suis d'accord avec vous que certains sujets ne sont pas assez traités. = English: I agree with you that certain topics aren't dealt with enough.	But history is important.	But history is very important.
French: Les herbes médicinales permettront de te soigner et de te remettre sur pied ! = English: You can use medicinal herbs to heal you and get you back on your feet!	We'll go find the herbs and try to make an ointment.	We will go and get these herbs and try to make a salve
French: Oui. = English: Yes.	But I'm not sure that will be good enough...	But, I'm not sure that will be enough...
French: tout ce travail pour rien = English: All that work for nothing.	Where's the bottle opener?	Where is the corkscrew?
French: Ce n'est pas évident de trouver un nouveau médecin efficace quand on change de ville. = English: Finding an efficient new doctor isn't easy when you move towns.	Or even finding a supermarket that sells products you're used to.	Or simply, finding a supermarket that sells the products I am used to.
French: Pour moi, c'est surtout le parc le plus proche de chez moi. = English: As for me, it's above all the nearest park to my house.	And as there's a pond and ducks, I come here often.	And as it has a pond and ducks, I often come here.
French: Bon, le sujet me semble sérieux. = English: Right, the issue seems serious.	I therefore suggest that we see each other once a week for 6 months.	So I propose that we meet once a week for 6 months.
French: Il est bon, non? = English: It's good, isn't it?	Yes, we can try to go down there...	Yes, we can try to go down there...
French: Commande suivante... = English: Next order...	A marinated salmon dish.	A plate of marinated salmon.
French: Ah oui je comprends. = English: Oh yes, I see.	Childhood memories always stay with you, especially if they are unpleasant!	Childhood memories are always with us, especially if they are unpleasant!
French: C'est bien moins humide et les aurores boréales sont magnifiques. = English: It is far less humid and the northern lights are beautiful.	Perhaps for the eskimos, but not for me.	Perhaps for the Inuit, but not for me.
French: Mais ou est-ce qu'on doit aller, alors ? = English: But where should we go then?	We're going to find somewhere safe to sleep tonight.	We will look for a place to sleep tonight peacefully.
French: Mon Dieu, mais c'est horrible ce que vous dites. = English: Oh my god, but that's a dreadful thing to say.	Do you really think so?	Do you really think so?
French: Qu'est-ce que tu penses qu'on devrait faire ? = English: What do you think we should do?	I remember we passed in front of a hut.	I remember that we passed by a hut.
French: Vous devriez peut-être aller voir un diététicien pour vous aider à mieux organiser votre alimentation. = English: Perhaps you should go to see a nutritionist to help you organise your nutrition better.	I'm sure that would help boost your energy levels and help you feel better.	I'm sure that would contribute to giving you energy and making you feel better.
French: Le fait que j'aille au toilette m'apporte 2000 j'aimes. = English: Me going to the toilet gives me 2000 likes.	I'm only doing this job whilst waiting to be recruited by a modelling agency!	I do this job only in the hope of being hired by a modeling agency!
French: Je vais bien à part mon dos douloureux. = English: I am doing well other than my sore back.	You're welcome. It's always a please to see you, you know.	Please, it always makes me very happy to see you, you know.
French: Mais tout va bien, je refais le dessert, et je vous promets que je serai à l'heure et que je vais faire attention! = English: But everything's fine. I'll redo the dessert, and I promise to be on time and to be more careful!	You can count on me, chef!	You can count on me, chef!
French: Super ! = English: Great!	And you you think we'll come across any other animals?	And do you think we can meet other animals?
French: Pourquoi as-tu tellement envie d'aller te promener ? = English: Why are you so keen to go for a walk?	Doing lengths in a small pool isn't very original.	Swimming lengths in a small pool is not very original.
French: tu as vu la table numéro 2 ? = English: Have you seen table number 2?	The couple of British tourists?	the British couple?
French: Et si jamais tu as des idées en plus, n'hésite pas à me rappeler. = English: And if you have any more ideas, please call me.	I have to dash!	I have to run!
French: Tu veux dire un parapluie ? = English: Did you mean umbrella?	Your liver, sorry.	Your liver, sorry
French: C'est Julie! = English: It's Julie here!	I'm calling about my birthday.	I was calling you about my birthday.
French: Je me sens très triste, ces derniers temps. = English: I have been feeling very sad lately.	Has something in particular happened recently?	Did anything particular happen to you recently?
French: J'ai entendu dire que le pain était nocif pour les canards. = English: I heard that bread was harmful to ducks.	We'll be able to compare the efficiency of white bread and brown bread on these ducks.	We will be able to compare the effectiveness of white bread and that of black bread on these ducks.
French: Tu penses qu'ils se sont moqués de toi ? = English: You think they were making fun of you?	I'm not sure!	it is not certain!
French: Tu veux que l'on vagabonde en snifant le sol ? = English: Do you want us to roam around sniffing the ground?	No, it's a joke.	No, it's a joke.
French: On pourrait inviter notre groupe de yoga et les gens de la chorale... = English: We could invite our yoga group and the people from choir.	A Thai restaurant.	A Thai restaurant.
